x,y,u,v
53600.0,0.0,-0.02,-0.15
53700.0,0.0,-0.02,-0.15
53800.0,0.0,-0.02,-0.16
53900.0,0.0,-0.02,-0.16
54000.0,0.0,-0.01,-0.17
54100.0,0.0,-0.01,-0.17
54200.0,0.0,-0.02,-0.18
54300.0,0.0,-0.02,-0.18
54400.0,0.0,-0.01,-0.18
54500.0,0.0,-0.01,-0.19
54600.0,0.0,-0.02,-0.19
54700.0,0.0,-0.02,-0.2
54800.0,0.0,-0.02,-0.2
54900.0,0.0,-0.02,-0.21
55000.0,0.0,-0.01,-0.21
55100.0,0.0,-0.02,-0.21
55200.0,0.0,-0.02,-0.22
55300.0,0.0,-0.01,-0.22
55400.0,0.0,-0.01,-0.23
55500.0,0.0,-0.01,-0.24
55600.0,0.0,-0.01,-0.25
55700.0,0.0,-0.02,-0.25
55800.0,0.0,-0.01,-0.26
55900.0,0.0,-0.02,-0.27
56000.0,0.0,-0.02,-0.28
56100.0,0.0,-0.01,-0.29
56200.0,0.0,-0.02,-0.3
56300.0,0.0,-0.01,-0.32
56400.0,0.0,-0.01,-0.33
56500.0,0.0,-0.01,-0.34
56600.0,0.0,-0.02,-0.35
56700.0,0.0,-0.01,-0.37
56800.0,0.0,-0.01,-0.38
56900.0,0.0,-0.02,-0.39
57000.0,0.0,-0.01,-0.41
57100.0,0.0,-0.01,-0.41
57200.0,0.0,-0.01,-0.42
57300.0,0.0,-0.01,-0.42
57400.0,0.0,-0.01,-0.42
57500.0,0.0,-0.01,-0.42
57600.0,0.0,-0.01,-0.4
57700.0,0.0,-0.01,-0.38
57800.0,0.0,-0.01,-0.36
57900.0,0.0,-0.01,-0.32
58000.0,0.0,-0.01,-0.28
58100.0,0.0,-0.01,-0.24
58200.0,0.0,-0.01,-0.2
58300.0,0.0,-0.01,-0.16
58400.0,0.0,-0.01,-0.12
58500.0,0.0,-0.01,-0.08
58600.0,0.0,-0.01,-0.04
58700.0,0.0,-0.01,-0.0
58800.0,0.0,-0.01,0.03
